Row;Column;L11;a11;b11;L12;a12;b12;L13;a13;b13;L14;a14;b14;L15;a15;b15;L16;a16;b16;L17;a17;b17;L18;a18;b18;L21;a21;b21;L22;a22;b22;L23;a23;b23;L24;a24;b24;L25;a25;b25;L26;a26;b26;L27;a27;b27;L28;a28;b28;L31;a31;b31;L32;a32;b32;L33;a33;b33;L34;a34;b34;L35;a35;b35;L36;a36;b36;L37;a37;b37;L38;a38;b38;L41;a41;b41;L42;a42;b42;L43;a43;b43;L44;a44;b44;L45;a45;b45;L46;a46;b46;L47;a47;b47;L48;a48;b48;L51;a51;b51;L52;a52;b52;L53;a53;b53;L54;a54;b54;L55;a55;b55;L56;a56;b56;L57;a57;b57;L58;a58;b58;L61;a61;b61;L62;a62;b62;L63;a63;b63;L64;a64;b64;L65;a65;b65;L66;a66;b66;L67;a67;b67;L68;a68;b68;L71;a71;b71;L72;a72;b72;L73;a73;b73;L74;a74;b74;L75;a75;b75;L76;a76;b76;L77;a77;b77;L78;a78;b78;L81;a81;b81;L82;a82;b82;L83;a83;b83;L84;a84;b84;L85;a85;b85;L86;a86;b86;L87;a87;b87;L88;a88;b88
1;1;55,5869;0,1352;2,1851;44,6537;-16,5998;26,5217;54,3402;0,1276;2,2192;50,446;-4,2505;-25,31;56,9656;7,4995;-27,4593;54,9503;0,0856;2,2408;70,5645;-33,125;-0,8156;55,6143;0,1688;1,7866;94,3604;0,7035;0,5956;52,7485;49,7094;17,7952;72,1628;12,8657;12,2088;36,6646;13,1378;24,0622;62,9269;16,6644;14,5006;57,7339;11,7703;23,0102;83,7511;2,6652;88,4275;73,4548;19,4727;75,149;84,6;0,4579;0,8044;64,0682;14,0938;15,781;69,1919;10,1639;12,8572;36,1151;15,0879;32,3315;66,8369;9,2102;18,0119;61,1883;16,002;21,5613;59,3601;16,546;20,8095;41,9183;56,4777;35,7786;69,2362;0,1968;1,4599;44,1628;18,3693;21,5779;41,0991;13,6689;24,2069;54,3199;0,0427;2,3232;54,1302;0,1037;2,3009;65,5905;13,7131;14,9078;73,9484;9,3143;13,6863;52,5666;49,1246;-16,8227;54,8493;0,0746;2,3296;73,4837;9,8147;10,7864;53,8547;0,1543;2,4049;53,8936;0,1714;2,2305;53,6035;0,0886;2,4873;53,6562;0,094;2,4032;46,3629;14,4674;23,5548;53,2967;0,1648;2,3625;40,3828;0,2254;2,9352;68,3851;14,5429;12,6031;74,3236;9,0913;15,3109;71,1155;12,449;11,161;54,9289;12,4026;22,4906;49,3943;19,3813;23,2208;65,655;13,2159;16,4617;56,7446;-40,6487;35,6079;19,6043;0,6977;0,9984;66,0572;17,0844;13,777;58,6173;16,4561;17,4446;71,2426;12,9269;10,0369;39,0629;15,5651;19,3685;34,1487;13,1288;15,1701;30,1987;11,393;13,4975;73,3364;-24,7333;60,182;54,655;0,1063;2,4871;64,4946;36,7359;63,9744;53,9326;0,138;2,5557;51,1362;-31,8604;-30,1862;26,5654;27,6325;-27,456;54,9534;0,1473;2,4664;30,4581;12,2833;-46,201;54,8175;0,0991;2,5668
1;1;56,6057;0,0965;2,0268;45,5784;-16,4748;26,5005;55,1759;0,1109;2,1885;50,1252;-3,9265;-24,4956;58,14;7,7826;-26,6818;56,3901;0,078;2,0911;71,624;-32,6362;-0,4378;56,5983;0,0331;2,0575;94,5964;0,5436;0,666;53,5897;49,1856;17,2468;72,6824;12,8387;12,0201;37,1401;13,3866;24,5695;63,5451;16,5212;14,4116;58,7052;11,7824;22,4387;84,3409;2,2515;87,3424;74,0979;18,3084;75,0669;84,7697;0,3975;0,9514;64,8462;13,9177;15,7379;69,6638;9,8603;12,6574;37,8417;15,3863;33,1034;67,5928;9,2194;17,6626;61,8093;15,9146;21,1402;59,5046;16,3908;20,5109;42,458;56,3289;35,1193;69,7081;0,1109;1,4367;44,531;18,5183;21,3724;40,1666;13,5766;23,5105;55,1017;0,0501;2,2102;54,7804;0,0701;2,1746;66,6082;13,4478;14,5882;73,7509;9,3374;13,7588;53,235;48,9201;-16,396;55,1705;0,0608;2,2256;73,5035;9,8094;10,7618;55,5322;0,0858;2,1604;54,2377;0,1484;2,3775;55,6622;0,1129;2,095;55,4713;0,0693;2,1325;46,9494;14,7662;23,4745;55,8475;-0,004;2,2405;42,3309;0,2068;2,8104;68,8533;14,5016;12,5973;74,8278;8,9789;15,2921;69,9572;12,3535;11,2372;55,4704;12,3044;22,4191;50,2564;19,3613;22,9368;66,6599;13,1226;16,525;56,5219;-41,3677;33,8075;21,0775;0,6058;1,3656;67,1503;16,9009;13,701;58,7569;16,5579;17,3487;71,5706;12,783;10,0428;39,6778;15,611;19,0888;35,3013;13,2153;15,1321;31,8653;11,651;13,8441;73,8142;-24,4713;58,6568;56,3045;0,0617;2,3321;65,8273;35,1785;63,9049;54,7378;0,1291;2,4437;51,1364;-32,0849;-30,0928;27,1663;27,063;-28,382;55,1916;0,0547;2,5245;30,383;11,47;-46,3522;55,3542;0,1891;1,9429
1;1;55,782;0,0675;2,1117;45,8756;-16,7413;27,559;55,2332;0,0823;2,1203;49,5752;-4,3246;-24,6386;57,2394;7,205;-27,1788;54,8935;0,148;2,0202;70,557;-33,2179;-0,7541;55,5623;0,1322;1,9407;94,1209;0,6948;0,5544;52,9613;48,8572;17,9132;72,2327;13,0311;12,2564;36,412;13,3673;25,0296;62,3721;17,0264;14,4777;56,9651;11,8852;22,9882;83,796;2,7123;88,5491;73,459;19,5959;75,3161;83,4669;0,4783;0,9644;63,8471;14,2759;15,9551;68,8197;10,1133;13,0202;36,6443;15,1122;32,2313;66,7349;9,1858;18,0935;60,7731;16,2644;21,7105;57,9571;16,9191;20,8488;41,9283;56,2503;35,3984;68,7734;0,148;1,4395;44,3763;18,3638;21,8735;39,9774;13,7449;23,734;54,9969;0,1005;2,0456;55,1444;0,1227;2,0625;65,8129;13,6451;14,7644;73,1489;9,4463;13,8623;52,6596;48,6414;-17,0791;54,5669;0,1547;2,2846;73,2139;9,9077;10,6772;54,4263;0,1251;2,1661;54,2791;0,1;1,9763;54,4315;0,142;1,9772;53,9625;0,1533;2,2715;45,2574;14,7352;23,3585;54,4204;0,1399;2,0998;41,6165;0,2537;2,5822;68,1411;14,8091;12,6719;74,2501;9,0274;15,688;70,505;12,4323;11,1559;54,0255;12,6291;22,3591;48,894;19,3832;23,0812;65,1728;13,416;16,7891;55,9506;-41,2283;34,6548;20,0065;0,5895;1,2929;65,9842;17,264;13,902;57,762;16,844;17,4723;70,9944;12,835;10,007;39,3868;15,7208;19,5919;34,6602;13,0255;15,9119;30,7003;11,5305;13,7805;73,1294;-24,8856;59,7071;54,5663;0,1167;2,3792;64,8392;36,333;64,127;54,3581;0,068;2,3919;50,3321;-32,5045;-30,9715;26,5572;26,4752;-28,5097;55,0177;0,1046;2,3408;30,1894;9,8993;-46,9088;55,02;0,1039;2,3623
1;1;54,7352;0,1242;1,9708;45,0169;-16,5688;26,3886;54,5677;0,1373;1,8766;50,4541;-4,4273;-25,387;56,9901;7,7627;-27,1581;55,3064;0,0617;1,8469;70,6968;-33,2057;-0,4621;55,9458;0,0247;1,8541;94,3937;0,7136;0,6592;53,1511;49,5459;17,888;72,0834;12,9154;12,4211;36,2839;13,3736;24,4797;62,8415;16,7574;14,526;57,8891;12,0023;23,0818;84,1915;2,4861;88,4818;73,8766;18,8418;75,6106;84,1304;0,4018;0,8706;63,9048;14,359;15,9769;68,9826;10,0754;13,0244;37,1851;15,2884;33,0688;66,9264;9,3132;18,1507;61,1644;16,1181;21,5565;58,8193;16,6862;20,6793;42,2315;56,4436;34,9929;70,2497;0,1644;1,3641;45,0898;18,6744;22,3103;40,9792;14,0693;24,0139;54,6757;0,1012;2,0258;55,3264;0,0933;1,9779;66,0632;13,5182;14,6862;73,2996;9,3564;13,7613;53,3658;48,6852;-16,7195;55,0257;0,1283;1,9686;73,375;9,9389;10,9077;55,1818;0,096;2,0717;54,5904;0,1007;1,9645;54,8728;0,0324;1,9946;54,6558;0,1328;1,9629;45,7004;15,0232;23,3452;54,6241;0,1279;2,0587;41,1185;0,1802;2,6386;68,3848;14,7256;12,606;74,2723;9,0988;15,4579;70,7852;12,4296;11,1239;54,6042;12,5588;22,485;49,4203;19,4716;23,3306;65,6239;13,2948;16,493;56,2938;-41,9589;33,9447;18,977;0,6304;0,9046;66,3756;17,1493;13,9787;58,2628;16,5587;17,5227;71,3235;12,8078;10,1736;39,5477;15,8029;19,3552;34,4237;12,9177;15,1848;30,8979;11,6978;13,4428;73,3428;-24,7393;59,0774;55,9891;0,092;2,1173;65,6447;35,0632;64,4597;54,6373;0,0712;2,1433;50,2622;-32,8453;-31,1537;26,5955;26,8382;-28,9948;55,8213;0,0734;2,2117;30,0988;9,0694;-47,2021;55,8046;0,1328;1,5057
1;1;55,7489;0,0936;2,0137;46,0037;-16,4222;27,2366;54,8732;0,0893;2,091;50,5249;-3,818;-24,4911;57,6709;7,9328;-26,8287;55,3286;0,0689;2,0044;71,1218;-32,903;0,2532;55,521;0,0889;2,04;94,7291;0,6885;0,656;52,866;48,9058;18,0185;70,8368;13,1507;12,3621;36,1444;13,1106;23,9037;62,6918;17,0443;14,4297;57,1988;11,797;22,8455;84,3964;2,6329;88,3385;73,5841;19,8079;75,081;83,6492;0,3371;0,9871;63,6655;14,327;15,9075;67,3953;10,2535;13,0839;37,1363;14,908;32,6179;66,328;9,2907;18,2831;60,5092;16,4657;21,8909;58,1811;16,973;20,8797;41,9373;56,2834;35,0399;68,645;0,1296;1,4862;43,8907;18,331;21,7222;38,7382;13,707;23,4052;54,1459;0,1111;2,1202;54,2144;0,0979;2,1016;65,7761;13,7832;14,8962;73,1711;9,5533;14,001;52,7389;49,0753;-16,8442;54,1834;0,1038;2,3432;73,2554;9,993;10,8886;54,3095;0,0705;2,1725;54,1062;0,0822;2,157;54,6187;0,0552;2,1522;54,8804;0,0544;2,1661;45,386;14,7753;23,3171;54,1555;0,1372;2,1611;41,237;0,2633;2,7175;68,1229;15,0406;12,8033;74,409;9,0844;15,8459;70,6151;12,5488;11,243;53,8546;12,5857;22,1711;48,7423;19,5399;23,0486;65,2188;13,4525;16,8463;56,0503;-40,8077;34,5337;19,9157;0,7327;0,9154;65,7679;17,7279;14,0368;56,4668;16,7557;17,3676;71,035;13,116;10,1535;38,9214;15,434;19,3541;34,8687;12,8838;15,376;30,6954;11,6476;13,4311;73,2641;-24,9865;58,6585;54,2811;0,1361;2,4372;64,9561;36,4734;63,643;52,8376;0,2439;2,4917;50,856;-32,1404;-30,4768;26,8126;26,551;-28,0052;55,5748;0,0928;2,3985;30,2824;10,4085;-46,3234;54,8484;0,1337;1,9305
1;1;56,3575;0,1305;2,0448;47,0702;-16,1022;27,55;55,7416;0,1336;1,8971;51,1092;-3,4566;-24,1305;58,2148;8,5248;-26,1133;56,4611;0,0833;2,0243;71,682;-31,575;0,4108;56,2714;0,0758;2,048;94,4928;0,6958;0,5416;54,176;48,7999;17,9628;72,8218;13,0217;11,8717;37,6352;13,36;24,8598;63,7279;16,5864;13,7861;58,7402;11,5545;22,5843;84,3238;2,4553;86,4835;73,9568;18,7393;74,1808;84,6232;0,4314;0,7708;64,921;13,867;15,3615;69,9609;9,9962;12,5008;37,7099;15,2745;31,7731;67,1791;9,1697;17,7043;61,9989;15,9282;21,2294;59,8344;16,5595;20,4635;43,0875;56,0376;34,9539;69,2507;0,1848;1,3596;45,84;18,7225;21,8057;41,7359;13,6256;24,1598;55,687;0,053;2,1557;55,33;0,171;2,11;66,8428;13,4547;14,2815;73,9669;9,2847;13,4415;53,7982;48,4611;-16,1292;54,6689;0,1425;2,302;73,5051;9,9024;10,542;54,8468;0,1212;2,1935;55,1477;0,1705;2,0358;55,2399;0,146;2,0115;55,6568;0,138;2,1062;46,8718;14,989;23,3224;55,5871;0,1402;2,1331;42,3059;0,1858;2,6935;68,5006;14,6597;12,3079;74,5587;9,014;15,2953;70,9599;12,453;10,82;55,0012;12,3399;22,0486;49,7524;19,4548;22,4554;66,4495;12,9962;16,2174;57,2012;-39,7029;35,1596;21,1032;0,7184;1,0793;66,5685;17,3683;13,4548;59,4983;16,615;17,1712;71,6501;12,9477;9,7804;39,9491;15,6789;18,8993;36,6828;13,4079;15,9373;32,3987;11,7331;13,6775;74,1911;-23,8601;59,5134;55,8673;0,0797;2,3534;65,2896;35,6306;63,1079;55,2999;0,1585;2,2388;51,5438;-31,046;-29,7214;27,7195;27,5931;-26,6273;56,3945;0,064;2,2233;30,8391;11,8052;-45,7758;54,9494;0,1618;2,0567
1;1;56,8829;0,0695;1,8868;47,5692;-16,3487;28,4104;56,2905;0,1295;1,9819;51,7238;-3,1994;-24,3177;58,4652;8,8905;-25,8649;57,0107;0,0997;2,0253;72,4728;-31,3132;1,1963;57,9697;0,0707;1,8951;94,3785;0,6585;0,4691;53,9105;48,6191;18,5951;72,0544;12,8945;11,9982;37,2623;13,8349;24,6686;63,1083;16,67;14,2305;58,6658;11,8811;22,6783;84,35;2,4761;86,8513;74,2155;18,0734;74,3431;84,6113;0,4666;0,7096;64,3094;14,1548;15,6377;68,8643;10,2179;12,7058;37,8415;15,6317;32,2158;67,058;9,3234;17,9744;61,5507;16,0574;21,2219;59,2192;16,5616;20,7349;42,7472;55,9587;35,0205;70,2297;0,1886;1,3372;44,6416;18,699;22,063;40,6544;13,8272;24,0097;55,3712;0,0901;2,1537;55,5798;0,038;2,1003;66,2831;13,6236;14,5288;73,5292;9,4919;13,7355;54,0844;48,1308;-16,095;56,0287;0,1491;2,0426;73,5645;9,8407;10,6126;55,9746;0,1629;2,1579;55,2646;0,1247;2,1606;55,9502;0,1735;2,1571;55,9302;0,1151;2,0582;46,588;14,9531;23,612;56,2677;0,1229;2,1307;43,0043;0,195;2,677;68,5916;14,6677;12,4705;74,643;9,0519;15,3829;71,0166;12,4459;10,9948;54,956;12,4046;22,4663;50,3755;19,4953;23,2007;66,3079;13,1137;16,3459;57,8394;-39,6899;35,98;20,7045;0,6245;1,5226;66,2021;17,1812;13,7808;58,459;16,5348;17,2224;71,3584;12,9195;9,9354;40,1117;15,7571;19,4093;35,92;13,2321;15,2973;32,1485;11,954;13,7314;74,6307;-23,2872;59,9744;56,4768;0,1159;2,3356;65,7592;34,9083;63,7588;55,7473;0,0845;2,287;51,5608;-31,1716;-29,7063;28,2795;27,4696;-27,6105;57,1105;0,1237;2,1396;31,1373;10,7783;-46,0197;56,0968;0,1249;2,311
1;1;55,676;0,0503;2,049;46,6381;-16,6808;27,6484;55,4793;0,0324;2,0983;51,473;-3,346;-24,7975;57,604;8,7425;-25,6849;55,1182;0,0884;2,1461;72,2318;-31,6603;1,2592;55,857;0,0825;2,1615;94,4177;0,6778;0,754;53,9225;48,0966;18,694;72,5762;12,9892;12,0489;37,9008;13,7206;25,3561;63,8022;16,524;14,1377;58,3956;11,5138;22,571;84,6916;2,2747;87,1275;74,576;18,035;75,1131;84,6717;0,3563;0,9238;64,4913;14,0322;15,7137;69,443;10,0424;12,7074;37,4151;15,4014;32,9891;67,1339;9,1597;17,7956;61,6439;15,9943;21,1829;59,4967;16,4065;20,3845;42,7132;56,4105;35,1502;71,1398;0,2053;1,2306;45,2958;18,9192;22,2857;41,2383;13,6956;24,4759;54,6146;0,126;2,1087;55,7094;0,1051;2,0365;66,443;13,4926;14,5148;73,6319;9,3161;13,4657;53,5823;48,7734;-16,2091;55,2734;0,072;2,151;73,4363;9,8783;10,7583;55,823;0,1136;2,0452;55,7021;0,1146;2,0382;55,532;0,0827;2,1399;55,5715;0,1046;2,1504;47,6799;15,006;24,104;55,7253;0,1308;2,1652;42,6546;0,214;2,7452;68,5609;14,632;12,559;74,4837;8,9786;15,2858;71,2595;12,3189;11,0232;55,7544;12,3503;22,744;50,3286;19,5514;23,6349;66,5997;13,0518;16,2836;57,5841;-41,1165;35,8292;20,6295;0,5381;1,092;66,3832;17,2215;13,6251;59,0583;16,6021;17,217;71,4157;12,8936;9,9949;39,931;15,9722;19,4644;35,1496;13,4881;15,28;31,4421;11,8526;13,6207;74,0204;-24,4105;59,7875;57,5397;0,0349;2,2267;65,5319;35,0354;63,4332;56,2064;0,0951;2,2566;51,1114;-32,0584;-30,187;27,8124;27,7945;-28,9371;56,876;0,0809;2,2053;30,6014;10,7968;-46,4229;56,4487;0,1245;1,9928
1;1;54,602;0,172;2,0986;44,6896;-16,4414;27,0521;54,4749;0,0727;2,1412;50,0778;-4,2734;-25,0294;56,5998;7,8164;-27,2422;54,2996;0,131;2,2143;70,6725;-33,8833;-0,2274;54,0523;0,1396;2,1413;94,5141;0,6552;0,7464;52,0463;49,665;18,1214;72,4061;13,1082;12,2955;35,5747;13,3408;24,1959;62,8514;16,8914;14,4406;57,3593;11,7101;23,0602;84,1759;2,7124;88,9934;72,9649;20,6724;75,2136;83,815;0,3918;0,8806;63,7954;14,3117;15,93;69,135;10,1579;12,9529;35,8597;15,0878;31,6902;65,6361;9,1907;18,2851;60,6073;16,3494;21,9309;58,2374;16,9018;21,0264;42,1466;56,4046;36,0397;68,5082;0,1287;1,5195;43,366;18,6483;21,9587;39,2817;13,6094;22,9918;53,0349;0,0824;2,2346;52,9788;0,1794;2,4514;65,4823;13,7;14,9376;73,3167;9,3775;13,8054;52,5492;49,3336;-17,0811;54,1546;0,1218;2,2904;73,0726;9,9518;10,8321;53,8682;0,149;2,1788;53,7586;0,144;2,2461;54,1099;0,081;2,2037;53,4812;0,1921;2,2129;45,357;14,7361;23,2163;54,0122;0,2067;2,1302;41,1047;0,2327;2,7115;68,1058;14,8684;12,6258;74,5072;9,065;15,5123;71,0146;12,5241;11,2034;53,933;12,4271;22,198;48,6669;19,8958;22,8372;65,4824;13,3602;16,8699;55,8112;-41,3806;35,1776;19,3;0,656;1,1136;65,6626;17,5036;13,9586;57,9747;16,9256;17,5369;71,0642;13,1597;10,0588;38,3061;15,562;18,9317;34,2348;13,1088;15,2878;30,2624;11,4816;13,5995;72,9482;-25,0503;59,7921;54,3767;0,1477;2,3405;64,1179;37,6112;63,7054;53,5903;0,143;2,3571;50,1839;-32,8127;-31,211;25,8537;26,0374;-27,6061;54,7948;0,0635;2,3894;30,0482;9,4886;-46,836;54,5382;0,0748;2,3949
1;1;55,893;0,1227;1,9907;46,5286;-16,6224;27,2628;55,2073;0,0976;1,948;50,9841;-3,4639;-25,0011;57,6644;8,723;-26,5164;56,8891;0,0632;1,9829;71,5526;-32,3851;0,5203;57,7346;0,0862;1,6507;94,1384;0,7132;0,7052;53,2944;49,2587;18,0036;72,5305;12,9467;12,2157;37,1805;13,4803;25,0688;63,4029;16,5271;14,2005;58,5761;11,632;22,8103;84,1383;2,4975;86,9109;73,9078;19,1907;74,3027;84,0336;0,4803;0,8813;64,4104;14,0507;15,6357;69,4479;10,0109;12,726;37,5626;15,5881;32,5705;67,2872;9,1684;17,699;61,5912;16,0346;21,5961;59,1502;16,599;20,6774;42,6344;56,3461;34,8331;69,1303;0,1779;1,4679;44,7582;18,6823;22,0481;41,014;13,9047;23,9347;54,9973;0,0142;2,1816;54,3966;0,1531;2,1214;66,4101;13,4353;14,5284;73,5967;9,3681;13,6489;53,2156;48,9889;-16,5001;54,4791;0,1347;2,1927;73,709;9,8324;10,7542;55,1232;0,1003;2,1248;54,8621;0,0912;2,139;54,2983;0,1816;2,1421;55,3965;0,0882;2,0316;46,3983;14,7955;23,4562;55,0106;0,1632;2,1466;41,8487;0,1998;2,6724;68,4474;14,7612;12,5261;74,672;8,9544;15,3436;71,6782;12,3505;10,9217;55,1264;12,2686;22,4072;50,0157;19,4907;23,1744;66,4209;13,0281;16,1895;57,5432;-40,7444;35,3962;20,2837;0,6954;1,0692;66,3484;17,1457;13,7154;58,6552;16,5832;17,151;71,5998;12,8506;9,9793;40,3209;15,7186;19,5569;34,7835;13,177;15,5689;31,5613;11,4152;13,7351;73,7563;-24,7769;59,6264;55,2317;0,0956;2,4051;64,7681;36,437;63,1575;54,7184;0,155;2,3872;51,0038;-32,6104;-30,7563;26,7417;27,1484;-27,5176;56,1902;0,1014;2,2303;30,7093;9,7281;-46,4893;55,714;0,114;2,2599
1;1;55,3307;0,0597;2,1824;45,7524;-15,8816;26,8702;54,2174;0,0974;2,1824;50,619;-3,6339;-23,7713;57,4686;7,9502;-26,6894;55,0221;0,0375;2,2239;71,5835;-32,5028;0,1409;55,4836;0,0605;2,1902;94,5574;0,6056;0,8033;53,0155;49,2335;17,6173;72,3636;13,1641;12,1905;36,3808;13,6042;24,3731;60,9111;16,9558;14,6911;57,0207;11,9142;22,8669;84,3495;2,5034;86,7235;73,8714;19,5257;74,5027;83,4615;0,3944;1,1099;63,4431;14,3587;16,0535;69,0315;10,2912;13,0466;37,0625;15,2024;31,6081;65,3877;9,3855;18,0472;60,1351;16,5476;21,742;57,9608;17,0587;20,8372;42,1285;55,4724;34,9807;68,9329;0,106;1,6047;43,3239;18,924;21,6711;39,9931;13,9537;23,6738;54,5691;0,0555;2,1954;53,2215;0,209;2,4871;64,9622;14,0054;15,0404;73,2914;9,4673;13,9379;52,9516;49,0864;-16,7181;54,6981;0,0951;2,1358;73,4845;9,9187;10,9576;54,4001;0,1594;2,3376;54,6217;0,0806;2,269;55,4135;0,1378;2,1275;54,4302;0,0738;2,1951;45,0665;15,1856;22,9102;54,5741;0,1639;2,2458;41,9933;0,1736;2,7482;68,4483;14,9769;12,7568;74,7118;8,9776;15,7131;70,5591;12,5475;11,3562;53,6682;12,6317;22,2184;48,792;19,6832;22,7116;64,8471;13,6715;17,1527;56,2578;-40,2832;34,7743;20,8953;0,8206;0,9764;65,5417;17,7314;14,0261;57,936;16,9613;17,5139;71,0934;13,0191;10,1811;38,0305;15,4887;19,1888;34,6607;12,7757;15,3067;30,7441;11,8708;13,4327;73,6614;-24,9169;59,3668;55,7184;0,037;2,3973;64,6368;37,0283;62,5128;54,2558;0,1257;2,3643;51,3143;-31,9563;-29,8911;26,7525;26,444;-27,0623;56,0048;0,0959;2,2729;30,7679;10,8815;-46,2245;55,6766;0,1765;1,8787
1;1;55,8169;0,1022;2,0928;46,1429;-16,3152;27,4321;55,3048;0,0985;1,9332;50,9673;-2,9676;-24,697;57,6199;9,1061;-26,28;56,2621;0,0951;1,9636;71,7036;-31,442;0,5523;57,4194;0,0662;1,8424;94,4904;0,6721;0,5554;52,8985;50,1296;17,2128;72,5862;13,0172;11,8212;36,8195;13,5216;24,8326;63,129;16,6069;14,162;57,9116;11,6894;22,7597;84,1938;2,5029;86,65;73,6805;19,4898;74,2263;83,8854;0,3613;1,0149;64,4044;13,9183;15,6277;69,5482;10,0794;12,6796;36,7313;15,6755;31,0001;66,7125;9,2289;17,7185;61,2798;16,1154;21,1397;58,9971;16,6494;20,4376;42,6148;56,5392;34,9634;70,0474;0,1929;1,3881;44,7946;18,919;21,2777;40,8335;13,9151;23,2582;54,972;0,0951;2,1605;55,3335;0,1103;2,054;66,1002;13,5529;14,4479;73,5342;9,1491;13,5247;53,2971;49,6177;-16,6104;54,6778;0,1867;2,2012;73,396;9,815;10,5394;54,3974;0,1426;2,1447;54,345;0,1314;2,1632;54,5744;0,1467;2,1119;54,9892;0,0875;2,0917;45,3723;15,0125;22,779;55,01;0,0035;2,1685;41,7906;0,2041;2,658;68,5366;14,7715;12,312;75,0915;8,9832;15,2983;71,309;12,3781;10,8135;54,9729;12,3235;22,3524;49,7954;19,6531;22,9309;66,0759;13,0782;16,2502;57,6117;-40,4804;35,6933;20,13;0,4636;1,1178;66,3684;17,1638;13,5311;58,9114;16,6334;17,1605;71,4546;12,8683;9,9842;39,1398;15,8603;19,2734;34,9778;13,2501;15,3916;31,2002;11,7535;13,6178;74,3731;-23,8012;59,8425;55,5888;0,1408;2,2415;64,835;36,1548;63,4064;54,4699;0,1287;2,348;51,0491;-31,9194;-30,1932;26,8535;26,9169;-27,4865;56,0571;0,1081;2,2357;30,631;9,8441;-46,2937;55,5062;0,1967;1,9102
1;1;54,9639;0,1688;2,3483;45,6274;-16,4701;26,6476;54,9522;0,1123;2,0957;50,2817;-3,8097;-24,7878;56,8954;8,0396;-27,2832;55,1643;0,1272;2,1688;70,9415;-33,263;-0,3433;55,9289;0,0647;2,0455;94,6057;0,6793;0,7593;52,6059;49,2195;17,4002;72,1167;13,2649;12,2307;36,1973;13,3866;24,1291;62,2344;17,138;14,5525;57,3038;11,9081;22,8358;84,314;2,5861;87,432;73,6078;19,6469;74,3914;83,448;0,4471;0,9116;63,2044;14,4384;15,9174;68,9374;10,2028;12,8835;36,6046;15,3483;31,6665;66,2073;9,3883;18,2201;60,619;16,3895;21,6948;58,0233;17,1105;20,7657;41,7941;55,2586;34,6938;68,9025;0,1779;1,5713;43,5212;18,6177;21,5444;39,9274;13,7451;23,2468;54,1098;0,1242;2,2809;54,3701;0,1826;2,2284;64,9673;13,9832;15,0422;73,0508;9,4741;13,8615;52,2961;49,3848;-16,952;53,9624;0,0706;2,3936;72,8693;9,9495;10,8635;54,3038;0,1756;2,2293;54,639;0,1271;2,2384;54,3585;0,155;2,1868;54,087;0,1435;2,196;44,8581;15,119;22,7158;54,7034;0,1367;2,3152;41,3687;0,169;2,7321;67,884;14,9399;12,59;74,1066;9,0417;15,6041;70,8874;12,5945;11,1836;53,9264;12,5932;22,0146;48,2718;19,599;22,7503;64,9243;13,5859;16,7647;56,1638;-41,2192;34,6078;20,2251;0,6556;1,0811;65,3089;17,6662;13,9325;57,6935;17,0446;17,386;70,8698;13,1917;10,0939;38,4466;15,7877;18,9792;34,7155;13,1105;15,3948;30,8039;11,7337;13,6963;73,3531;-25,136;59,0229;54,3065;0,1459;2,4483;64,3246;37,2234;61,8968;53,4796;0,1341;2,544;50,8339;-32,2448;-30,5156;26,8675;26,4228;-27,998;54,946;0,0495;2,4436;30,4886;10,1856;-46,4757;54,5922;0,2299;1,9363
2;1;53,4398;0,0775;2,1416;43,8767;-16,308;26,5218;53,4054;0,1364;2,2785;49,8292;-4,8899;-25,77;56,8061;7,0163;-27,7339;53,3289;0,0796;2,3266;68,8807;-33,4066;-0,9992;53,3847;0,084;2,1789;94,5304;0,6977;0,669;52,0472;50,4471;18,1481;72,6804;12,894;11,9553;36,3646;12,834;25,0187;63,445;16,5503;14,146;58,5587;11,5485;22,7722;84,5496;2,4325;89,028;73,5928;19,2104;75,4014;83,9333;0,4133;0,9222;64,152;13,9678;15,6817;69,4554;9,8079;12,7119;36,0147;15,5686;31,68;67,0575;8,9744;17,7894;61,5582;15,729;21,3294;59,3094;16,4206;20,7346;42,49;56,3914;35,7806;69,5496;0,1873;1,6698;45,1234;18,3973;21,7481;40,8067;13,2823;23,8065;54,7185;0,0811;2,4799;54,8096;0,1265;2,4097;66,59;13,167;14,591;72,157;9,2211;13,8158;52,2684;49,5285;-16,5658;54,6546;0,0847;2,4591;73,1651;9,8786;10,8807;54,6978;0,0646;2,5585;55,0976;0,0513;2,4779;54,9508;0,0549;2,5274;54,0229;0,0523;2,5196;44,9663;14,4051;23,4321;53,9052;0,0476;2,5307;40,9579;0,131;2,9977;68,5804;14,3365;12,4812;74,2692;8,763;15,3962;71,6301;12,0979;11,0452;55,5882;12,1517;22,6651;50,2762;19,1041;23,3393;65,2332;12,8459;16,3955;56,185;-41,5373;34,6906;18,7725;0,449;1,2309;66,4167;17,0945;13,6566;58,6484;16,5195;17,4197;71,3055;12,9433;10,1117;39,0509;15,1437;19,3337;32,7579;12,9773;15,6323;30,1407;11,1498;13,4611;72,3907;-25,2552;59,3251;53,8417;0,0638;2,4507;64,26;36,5644;64,9297;53,0498;0,0495;2,6336;50,9633;-32,5407;-30,8194;25,9371;26,4907;-28,3906;54,0172;0,0794;2,634;29,7491;12,5399;-46,0307;55,0663;0,2695;0,8405
